har_id,n_bound_TFBS,n_subs_in_bound,TFs
ZOOHAR.22,163,4,FOXA1;FOXA2;GABPA;GATA2;GATA3;JUN...
ZOOHAR.170,11,3,FOXA2;TEAD1
ZOOHAR.167,69,3,ERG;ETS1
ZOOHAR.302,6,3,FOXA1;FOXA2;TP63
ZOOHAR.24,2,3,NFKB1;STAT3
ZOOHAR.189,16,3,CTCF;ESR1;GLIS1;RUNX2;TCF12;TCF4...
ZOOHAR.42,42,2,STAT3
ZOOHAR.52,2,2,GATA3
ZOOHAR.169,16,2,ASCL1;GATA1
ZOOHAR.151,39,1,FOS;FOSL2;HNF1B;JUN;SMAD3
ZOOHAR.13,20,1,BACH1;MAFB;MAFF;MAFK;POU5F1
ZOOHAR.215,2,1,GRHL2
ZOOHAR.201,1,1,FOXA2
ZOOHAR.2,11,1,OTX2
ZOOHAR.181,1,1,TEAD1
ZOOHAR.278,9,1,ZNF263
ZOOHAR.276,14,1,CTCF
ZOOHAR.228,4,1,SIX2
ZOOHAR.30,262,1,RELA;RUNX1;SPI1
